county_state,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating,median_acute_care_rating,pct_acute_care
"LOS ANGELES, CA",91,76.0,2.84,3.0,83.52
"COOK, IL",58,46.0,2.53,2.0,79.31
"HARRIS, TX",50,36.0,3.0,3.0,72.0
"MARICOPA, AZ",45,32.0,3.16,3.0,71.11
"DALLAS, TX",31,25.0,3.33,3.0,80.65
"TARRANT, TX",28,23.0,3.19,3.0,82.14
"ORANGE, CA",28,24.0,3.0,3.0,85.71
"CLARK, NV",24,17.0,1.5,1.0,70.83
"PHILADELPHIA, PA",23,15.0,2.31,2.0,65.22
"KING, WA",21,15.0,3.62,4.0,71.43
"OKLAHOMA, OK",21,19.0,3.23,3.0,90.48
"SAN BERNARDINO, CA",20,15.0,2.6,3.0,75.0
"ALLEGHENY, PA",19,15.0,2.6,3.0,78.95
"MIAMI-DADE, FL",19,17.0,2.12,2.0,89.47
"SAN DIEGO, CA",19,15.0,3.67,4.0,78.95
"WAYNE, MI",18,14.0,2.5,2.0,77.78
"SAN JUAN, PR",18,16.0,1.0,1.0,88.89
"CUYAHOGA, OH",18,15.0,4.27,4.0,83.33
"RIVERSIDE, CA",17,16.0,2.38,2.0,94.12
"BEXAR, TX",17,13.0,3.25,3.0,76.47
"FRANKLIN, OH",17,10.0,3.0,3.0,58.82
"ALAMEDA, CA",16,12.0,2.75,2.5,75.0
"BROWARD, FL",16,14.0,2.21,2.0,87.5
"TRAVIS, TX",16,9.0,3.86,4.0,56.25
"NEW YORK, NY",16,12.0,2.7,3.0,75.0
"TULSA, OK",16,12.0,3.36,4.0,75.0
"SALT LAKE, UT",16,10.0,3.67,4.0,62.5
"MONTGOMERY, PA",15,11.0,3.38,4.0,73.33
"SUFFOLK, MA",15,10.0,3.33,3.0,66.67
"BALTIMORE CITY, MD",14,12.0,3.18,3.0,85.71
"OAKLAND, MI",14,12.0,3.56,3.0,85.71
"SUFFOLK, NY",14,10.0,2.2,2.5,71.43
"MIDDLESEX, MA",14,11.0,3.18,3.0,78.57
"COLLIN, TX",14,11.0,3.2,3.0,78.57
"PALM BEACH, FL",13,12.0,2.08,2.0,92.31
"MARION, IN",13,9.0,3.57,4.0,69.23
"DENTON, TX",13,10.0,3.57,4.0,76.92
"KINGS, NY",13,12.0,1.33,1.0,92.31
"SAN FRANCISCO, CA",12,10.0,3.0,3.0,83.33
"SANTA CLARA, CA",12,9.0,2.67,3.0,75.0
"PULASKI, AR",12,8.0,2.38,1.5,66.67
"SACRAMENTO, CA",12,8.0,2.88,3.0,66.67
"HAMILTON, OH",12,8.0,3.88,4.0,66.67
"PINELLAS, FL",12,10.0,2.6,3.0,83.33
"PIMA, AZ",12,9.0,2.5,2.0,75.0
"EL PASO, TX",12,9.0,2.83,2.5,75.0
"JACKSON, MO",12,9.0,3.11,4.0,75.0
"LAFAYETTE, LA",11,8.0,3.83,4.0,72.73
"SHELBY, TN",11,6.0,2.0,2.0,54.55
"JOHNSON, KS",11,9.0,3.0,3.0,81.82
"KERN, CA",11,7.0,1.71,2.0,63.64
"HONOLULU, HI",11,7.0,4.14,4.0,63.64
"ST. LOUIS, MO",11,9.0,2.78,2.0,81.82
"DOUGLAS, NE",11,8.0,3.2,3.0,72.73
"LAKE, IN",11,9.0,3.67,4.0,81.82
"WESTCHESTER, NY",11,9.0,2.22,2.0,81.82
"MILWAUKEE, WI",11,8.0,3.33,3.5,72.73
"E. BATON ROUGE, LA",11,7.0,2.6,3.0,63.64
"JEFFERSON, AL",10,8.0,2.57,2.0,80.0
"LUCAS, OH",10,8.0,3.25,3.0,80.0
"NASSAU, NY",10,10.0,2.1,2.0,100.0
"THE DISTRICT, DC",10,7.0,1.43,1.0,70.0
"HILLSBOROUGH, FL",10,9.0,2.89,3.0,90.0
"DAVIDSON, TN",10,9.0,2.75,2.5,90.0
"BREVARD, FL",9,7.0,2.86,3.0,77.78
"FULTON, GA",9,7.0,2.29,2.0,77.78
"ORLEANS, LA",9,5.0,2.0,2.0,55.56
"SONOMA, CA",9,7.0,3.8,4.0,77.78
"DUVAL, FL",9,7.0,2.86,3.0,77.78
"HENNEPIN, MN",9,8.0,3.14,3.0,88.89
"ERIE, NY",9,6.0,2.0,2.0,66.67
"ST. TAMMANY, LA",9,6.0,3.5,3.5,66.67
"WORCESTER, MA",9,7.0,2.67,3.0,77.78
"NEW HAVEN, CT",9,8.0,2.57,3.0,88.89
"GREENVILLE, SC",9,6.0,4.0,4.0,66.67
"BRISTOL, MA",8,4.0,2.0,2.0,50.0
"CADDO, LA",8,4.0,2.33,3.0,50.0
"ESSEX, NJ",8,7.0,2.57,2.0,87.5
"BUCKS, PA",8,7.0,3.6,3.0,87.5
"CONTRA COSTA, CA",8,7.0,3.29,3.0,87.5
"WILLIAMSON, TX",8,5.0,4.0,4.0,62.5
"ST. LOUIS, MN",8,5.0,3.4,3.0,62.5
"SAN JOAQUIN, CA",8,7.0,2.43,2.0,87.5
"HARTFORD, CT",8,7.0,2.67,3.0,87.5
"PROVIDENCE, RI",8,6.0,2.83,3.0,75.0
"VENTURA, CA",8,6.0,2.5,2.0,75.0
"FAIRFIELD, CT",8,6.0,2.33,2.5,75.0
"JEFFERSON, LA",8,5.0,3.0,3.0,62.5
"BERNALILLO, NM",7,5.0,2.6,2.0,71.43
"BROWN, WI",7,4.0,4.25,4.0,57.14
"CHARLESTON, SC",7,6.0,3.5,4.0,85.71
"UTAH, UT",7,5.0,4.25,4.0,71.43
"PIERCE, WA",7,5.0,2.2,2.0,71.43
"HUDSON, NJ",7,6.0,1.67,2.0,85.71
"ORANGE, FL",7,3.0,3.0,3.0,42.86
"JEFFERSON, KY",7,4.0,1.75,2.0,57.14
"WASHOE, NV",7,4.0,3.0,3.5,57.14
"QUEENS, NY",7,6.0,1.17,1.0,85.71
"BRONX, NY",7,6.0,1.17,1.0,85.71
"PASCO, FL",7,6.0,3.17,3.5,85.71
"MULTNOMAH, OR",7,6.0,3.67,3.5,85.71
"BERGEN, NJ",7,6.0,2.67,2.5,85.71
"RAPIDES, LA",7,3.0,3.0,2.0,42.86
"BALTIMORE, MD",7,5.0,3.25,3.0,71.43
"MIDDLESEX, NJ",7,5.0,2.4,2.0,71.43
"MECKLENBURG, NC",7,6.0,3.5,3.0,85.71
"MONTGOMERY, MD",7,6.0,3.33,3.0,85.71
"DU PAGE, IL",7,6.0,4.17,4.5,85.71
"SAN MATEO, CA",7,7.0,3.83,3.5,100.0
"FRESNO, CA",7,7.0,2.6,3.0,100.0
"MONTGOMERY, OH",7,4.0,4.0,4.0,57.14
"SPOKANE, WA",7,4.0,3.75,3.5,57.14
"SUMMIT, OH",7,4.0,3.0,3.0,57.14
"FORT BEND, TX",7,6.0,3.67,3.5,85.71
"DENVER, CO",7,6.0,3.4,3.0,85.71
"ALLEN, IN",7,6.0,3.0,3.0,85.71
"FAYETTE, KY",6,4.0,2.75,3.0,66.67
"NEW CASTLE, DE",6,2.0,3.0,3.0,33.33
"MOBILE, AL",6,4.0,1.75,1.5,66.67
"ST. LAWRENCE, NY",6,3.0,2.67,3.0,50.0
"FAIRFAX, VA",6,4.0,4.5,5.0,66.67
"HAWAII, HI",6,3.0,3.33,4.0,50.0
"CAMERON, TX",6,4.0,4.0,4.0,66.67
"KANE, IL",6,5.0,4.4,4.0,83.33
"HIDALGO, TX",6,6.0,3.17,3.0,100.0
"SEDGWICK, KS",6,6.0,3.75,4.0,100.0
"PENOBSCOT, ME",6,2.0,2.5,2.5,33.33
"SANTA BARBARA, CA",6,4.0,3.75,4.5,66.67
"WAKE, NC",6,4.0,3.5,3.5,66.67
